category,baseline,folder,source_url,retrieval,status,notes
foundation_models,Time-MoE,foundation_models/Time-MoE,https://github.com/Time-MoE/Time-MoE,shallow git clone,present,
foundation_models,Timer,foundation_models/Timer_Large-Time-Series-Model,https://github.com/thuml/Large-Time-Series-Model,shallow git clone,present,
foundation_models,Moirai,foundation_models/Moirai_uni2ts,https://github.com/SalesforceAIResearch/uni2ts,shallow git clone,present,
foundation_models,Chronos,foundation_models/Chronos,https://github.com/amazon-science/chronos-forecasting,shallow git clone,present,
foundation_models,TimesFM,foundation_models/TimesFM,https://github.com/google-research/timesfm,shallow git clone,present,
foundation_models,MOMENT,foundation_models/MOMENT,https://github.com/moment-timeseries-foundation-model/moment,shallow git clone,present,
llm_based,Time-LLM,llm_based/Time-LLM,https://github.com/KimMeen/Time-LLM,shallow git clone,present,
llm_based,GPT4TS,llm_based/GPT4TS_One-Fits-All,https://github.com/DAMO-DI-ML/NeurIPS2023-One-Fits-All,shallow git clone,present,
llm_based,S2IP-LLM,llm_based/S2IP-LLM,https://github.com/panzijie825/S2IP-LLM,shallow git clone,present,
lightweight_tsfm,SEMPO,lightweight_tsfm/SEMPO,https://github.com/mala-lab/SEMPO,GitHub archive,present,
lightweight_tsfm,TTM,lightweight_tsfm/TTM_granite-tsfm,https://github.com/ibm-granite/granite-tsfm,GitHub archive,present,Windows Expand-Archive reported long-path warnings but main source directory is present
task_specific_forecasters,iTransformer,task_specific_forecasters/iTransformer,https://github.com/thuml/iTransformer,GitHub archive,present,
task_specific_forecasters,DLinear,task_specific_forecasters/DLinear_LTSF-Linear,https://github.com/cure-lab/LTSF-Linear,GitHub archive,present,
task_specific_forecasters,PatchTST,task_specific_forecasters/PatchTST,https://github.com/yuqinie98/PatchTST,GitHub archive,present,
task_specific_forecasters,TimesNet,task_specific_forecasters/TimesNet,https://github.com/thuml/TimesNet,GitHub archive,present,
task_specific_forecasters,FEDformer,task_specific_forecasters/FEDformer,https://github.com/MAZiqing/FEDformer,GitHub archive,present,
shared_frameworks,Time-Series-Library,shared_frameworks/Time-Series-Library,https://github.com/thuml/Time-Series-Library,GitHub archive,present,Shared reproduction framework for many THUML-style forecasting baselines
